"","wld","rla","wlb","opp","mng","inf","scs","scc","sec","burnout","job_demands","job_resources"
"wld_1",0.723142820131663,0,0,0,0,0,0,0,0,0,0,0
"wld_2",0.601449987671219,0,0,0,0,0,0,0,0,0,0,0
"wld_3",0.871021585694105,0,0,0,0,0,0,0,0,0,0,0
"wld_4",0.69424951706992,0,0,0,0,0,0,0,0,0,0,0
"rla_1",0,0.79939432261132,0,0,0,0,0,0,0,0,0,0
"rla_2",0,0.786364632738884,0,0,0,0,0,0,0,0,0,0
"rla_3",0,0.809812945257309,0,0,0,0,0,0,0,0,0,0
"rla_4",0,0.834787453504683,0,0,0,0,0,0,0,0,0,0
"rla_5",0,0.812919028265912,0,0,0,0,0,0,0,0,0,0
"rla_6",0,0.718151875302997,0,0,0,0,0,0,0,0,0,0
"wlb_1",0,0,0.901438005408708,0,0,0,0,0,0,0,0,0
"wlb_2",0,0,0.84320324712999,0,0,0,0,0,0,0,0,0
"wlb_3",0,0,0.873667629681156,0,0,0,0,0,0,0,0,0
"wlb_4",0,0,0.920033836304693,0,0,0,0,0,0,0,0,0
"opp_1",0,0,0,0.742230759817078,0,0,0,0,0,0,0,0
"opp_2",0,0,0,0.732573156058887,0,0,0,0,0,0,0,0
"opp_3",0,0,0,0.894317205736783,0,0,0,0,0,0,0,0
"mng_1",0,0,0,0,0.944006763606667,0,0,0,0,0,0,0
"mng_2",0,0,0,0,0.846650530228951,0,0,0,0,0,0,0
"inf_1",0,0,0,0,0,0.725173305986778,0,0,0,0,0,0
"inf_2",0,0,0,0,0,0.694581855493629,0,0,0,0,0,0
"inf_3",0,0,0,0,0,0.677009408866954,0,0,0,0,0,0
"inf_4",0,0,0,0,0,0.821738987232334,0,0,0,0,0,0
"inf_5",0,0,0,0,0,0.654192403704368,0,0,0,0,0,0
"inf_6",0,0,0,0,0,0.767771875247408,0,0,0,0,0,0
"scs_1",0,0,0,0,0,0,0.891262381971328,0,0,0,0,0
"scs_2",0,0,0,0,0,0,0.911664302529862,0,0,0,0,0
"scs_3",0,0,0,0,0,0,0.722957750060783,0,0,0,0,0
"scc_1",0,0,0,0,0,0,0,0.857979558386226,0,0,0,0
"scc_2",0,0,0,0,0,0,0,0.830605284014436,0,0,0,0
"scc_3",0,0,0,0,0,0,0,0.560576601754272,0,0,0,0
"sec_1",0,0,0,0,0,0,0,0,0.930059910633772,0,0,0
"sec_2",0,0,0,0,0,0,0,0,0.823182086509426,0,0,0
"sec_3",0,0,0,0,0,0,0,0,0.722124099050609,0,0,0
"sec_4",0,0,0,0,0,0,0,0,0.887971297263761,0,0,0
"brt_1",0,0,0,0,0,0,0,0,0,0.779183524415217,0,0
"brt_2",0,0,0,0,0,0,0,0,0,0.820472099654105,0,0
"brt_3",0,0,0,0,0,0,0,0,0,0.621777532310296,0,0
"brt_4",0,0,0,0,0,0,0,0,0,0.656395173414818,0,0
