"","variable","mean","sd"
"1","brt_1",3.02970297029703,0.869098527005353
"2","brt_2",2.53960396039604,0.977821643120759
"3","brt_3",2.20841584158416,0.836683497971051
"4","brt_4",2.82673267326733,0.947134230360712
"5","gnl_1",4.83613861386139,1.44047344676308
"6","gnl_2",4.66485148514851,1.46399295675217
"7","inf_1",3.9950495049505,0.87245022810596
"8","inf_2",3.82178217821782,0.991466471073477
"9","inf_3",3.19306930693069,0.918224267876822
"10","inf_4",3.93069306930693,0.82567536948405
"11","inf_5",3.62376237623762,0.901645650229296
"12","inf_6",4.16831683168317,0.792619022004672
"13","mng_1",3.93564356435644,0.792261597886544
"14","mng_2",3.79207920792079,0.890154346090635
"15","opp_1",4.04950495049505,0.945018230088315
"16","opp_2",4.39108910891089,0.698626799482686
"17","opp_3",4.06435643564356,0.864338720965552
"18","pay_1",4.52648514851485,1.77761692695358
"19","pay_2",4.57425742574257,1.74757500119168
"20","ppa_10",3.6980198019802,1.12982895707392
"21","ppa_11",2.91584158415842,1.04517204880129
"22","ppa_12",3.84158415841584,1.07187169042886
"23","ppa_7",3.05445544554455,1.18531854378637
"24","ppa_8",3.82178217821782,0.971187298227287
"25","ppa_9",3.74257425742574,1.06180607749235
"26","ppr_13",3.75742574257426,0.969981949327198
"27","ppr_14",4.16831683168317,0.798871180353793
"28","ppr_15",4.21782178217822,0.942147017670948
"29","ppr_16",3.89108910891089,0.9814294590366
"30","ppr_17",3.74752475247525,1.10206446339305
"31","ppr_18",3.75742574257426,0.928042559353201
"32","pps_1",2.61881188118812,1.17952793249661
"33","pps_2",3.33663366336634,1.3291768127146
"34","pps_3",3.69306930693069,1.22366852612924
"35","pps_4",2.54455445544554,1.16776567263046
"36","pps_5",2.73762376237624,1.08608122847945
"37","pps_6",3.14851485148515,1.22889052104476
"38","qrp_1",1.81683168316832,1.23429995523321
"39","qrp_2",1.37128712871287,0.776372049302384
"40","qrp_3",1.74752475247525,0.936075650662048
"41","qrp_4",2.20792079207921,1.15312106593361
"42","qrp_5",2.92574257425743,1.22146258185625
"43","qrp_6",1.39059405940594,0.7087234311912
"44","qrp_7",1.83242574257426,0.982854677833677
"45","qrp_8",1.92227722772277,1.04157362403023
"46","rla_1",3.27648514851485,1.71224456660661
"47","rla_2",3.2269801980198,1.60242816341839
"48","rla_3",3.68737623762376,1.78731305003467
"49","rla_4",3.56856435643564,1.63059960613073
"50","rla_5",2.71262376237624,1.54923067851126
"51","rla_6",2.7259900990099,1.65080617978019
"52","rlc_1",4.4259900990099,1.7579698332659
"53","rlc_2",4.15346534653465,1.62357114532368
"54","rlc_3",5.25841584158416,1.57575777692074
"55","rlc_4",4.58366336633663,1.61899126613604
"56","rlc_5",4.04950495049505,1.63526360596543
"57","rlc_6",2.71559405940594,1.60021873005064
"58","scc_1",3.74257425742574,0.899457717739244
"59","scc_2",3.93069306930693,0.906114395846179
"60","scc_3",3.0049504950495,1.01480348685844
"61","scs_1",3.66831683168317,1.1902949751948
"62","scs_2",3.52475247524752,1.2585552753903
"63","scs_3",2.76732673267327,1.0883013292567
"64","sec_1",4.09381188118812,1.156122229943
"65","sec_2",3.91509900990099,1.1982278429635
"66","sec_3",3.13094059405941,1.4838806498047
"67","sec_4",3.97178217821782,1.18076017189893
"68","tol_1",3.7200495049505,1.78538208677308
"69","tol_2",4.5970297029703,1.674458209338
"70","wlb_1",2.86633663366337,1.34458761938874
"71","wlb_2",3.25247524752475,1.3084565408468
"72","wlb_3",3.02475247524752,1.23963611581008
"73","wlb_4",2.97524752475248,1.31746069191649
"74","wld_1",3.51980198019802,0.926182965707213
"75","wld_2",3.32673267326733,1.06138847288348
"76","wld_3",3.36138613861386,0.989041477484648
"77","wld_4",3.20792079207921,1.03488246919067
