"brt_1","brt_2","brt_3","brt_4","pps_1","pps_2","pps_3","pps_4","pps_5","pps_6","ppa_7","ppa_8","ppa_9","ppa_10","ppa_11","ppa_12","ppr_13","ppr_14","ppr_15","ppr_16","ppr_17","ppr_18","sec_1","sec_2","sec_3","sec_4","wlb_1","wlb_2","wlb_3","wlb_4","wld_1","wld_2","wld_3","wld_4","scs_1","scs_2","scs_3","scc_1","scc_2","scc_3","opp_1","opp_2","opp_3","qrp_1","qrp_2","qrp_3","qrp_4","qrp_5","qrp_6","qrp_7","qrp_8","inf_1","inf_2","inf_3","inf_4","inf_5","inf_6","mng_1","mng_2","rla_1","rla_2","rla_3","rla_4","rla_5","rla_6","rlc_1","rlc_2","rlc_3","rlc_4","rlc_5","rlc_6","pay_1","pay_2","tol_1","tol_2","gnl_1","gnl_2","gender_num","title_num","discipline_num","last_published_num","academia_length_num","phd_dissertation_num",".imp",".id"
3,2,2,2,4,4,5,3,4,5,5,5,5,5,4,4,5,5,4,4,3,3,5,4,2,3,4,4,4,3,4,2,4,2,4,5,5,4,4,3,5,4,5,4,4,1,1,2,1,3,2,3,3,2,3,4,4,5,4,5,5,5,5,4,4,5,6,7,5,5,5,2,3,5,5,5,5,2,1,0,3,1,2,1,1
2,1,1,3,2,4,3,2,2,4,4,5,4,4,3,4,3,4,2,3,4,4,5,5,5,5,2,4,3,2,2,3,3,3,1,2,1,2,2,3,4,4,4,1,1,1,1,1,1,1,3,4,3,3,4,3,4,4,4,4,4,5,4,6,5,4,3,5,4,4,4,3,2,4,5,7,6,1,1,1,1,1,2,1,2
3,1,2,2,3,4,5,4,3,4,2,4,5,5,4,3,5,5,4,4,3,2,4,4,4,5,2,4,4,3,3,4,5,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,2,4,5,3,5,3,5,4,4,3,5,5,5,3,2,2,6,5,4,5,4,2,6,2,2,6,5,1,1,1,1,2,2,1,3
5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,1,1,1,1,1,1,1,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,3,2,1,3,2,1,1,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,1,1,1,3,2,1,1,2,0,1,4
3,3,2,2,1,5,5,4,2,5,1,5,4,4,2,4,1,4,5,5,3,4,2,2,1,4,5,5,5,5,5,5,5,4,3,2,2,3,4,1,4,4,4,1,1,1,2,3,1,1,2,4,5,2,4,3,4,3,2,7,2,6,4,2,2,6,7,7,7,7,1,2,2,1,6,2,2,1,3,0,1,4,0,1,5
4,4,2,4,1,1,4,2,4,1,2,4,5,3,2,3,4,4,5,5,3,5,4,4,2,4,3,3,3,2,3,4,3,3,5,5,4,4,4,2,4,5,5,1,1,1,2,1,1,1,1,5,5,3,4,5,5,4,4,2,3,3,2,3,2,6,5,7,6,4,2,2,2,2,6,6,5,1,5,0,1,4,0,1,6
3,3,3,4,4,4,4,4,4,4,5,5,5,5,4,5,4,4,2,3,3,2,4,3,2,3,5,5,5,5,4,3,3,4,3,3,3,2,2,2,4,4,4,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,3,2,3,5,3,4,4,6,6,6,6,6,4,5,5,2,3,2,2,2,1,1,1,2,2,1,7
3,3,2,2,3,3,5,4,3,3,4,4,4,4,2,3,2,4,5,3,3,3,5,5,3,4,4,4,4,4,4,1,4,4,2,2,2,3,4,3,4,5,5,1,1,1,2,3,1,1,1,4,4,2,3,3,4,5,5,2,3,3,3,3,4,4,5,5,3,4,2,4,4,7,5,5,4,2,4,0,1,4,0,1,8
3,3,2,4,4,5,5,4,4,4,3,4,4,4,3,5,4,4,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,1,1,1,1,2,1,3,3,4,4,3,4,2,3,4,4,2,2,2,3,3,3,4,5,5,3,5,2,2,2,2,4,5,6,1,3,0,1,4,0,1,9
2,2,2,2,1,2,2,2,2,1,3,4,4,4,2,5,5,5,5,5,5,4,5,5,5,5,1,1,1,1,3,4,3,2,5,5,3,4,4,3,5,5,5,1,1,1,1,2,1,1,1,4,3,3,4,3,4,4,3,7,3,6,6,3,2,3,3,5,6,2,1,6,6,6,6,6,6,1,5,0,2,4,0,1,10
2,3,2,3,2,2,4,3,4,2,2,3,3,4,2,4,4,4,4,4,2,4,4,4,2,5,2,1,2,2,4,4,4,4,3,3,2,4,4,3,4,4,4,2,1,1,2,4,1,2,3,4,4,3,3,3,4,3,3,5,4,6,3,5,5,5,5,7,6,5,5,7,6,6,5,5,5,1,5,0,1,4,0,1,11
3,3,2,4,5,2,4,3,3,1,5,5,5,5,3,5,4,4,4,3,2,3,5,5,3,5,1,1,2,1,3,3,1,2,5,5,2,4,4,1,3,4,3,3,1,3,1,3,1,3,3,4,3,2,3,4,5,4,4,3,2,2,3,1,1,4,3,1,5,4,1,3,5,2,5,5,5,2,2,0,1,4,0,1,12
4,1,2,3,2,4,5,1,2,4,4,5,5,5,3,5,4,4,2,2,2,4,4,4,4,4,4,5,5,4,4,5,5,5,4,4,2,3,4,3,5,5,4,2,2,2,1,2,1,1,2,3,3,2,2,3,4,4,4,1,3,2,5,1,1,1,1,3,2,1,1,5,5,5,5,6,6,2,2,1,1,3,0,1,13
