"anonym_id","gender","title","discipline","last_published","academia_length","phd_dissertation"
2,"Woman","PhD student","Non-STEM","In the last 5 years","Less than 1 year","3-4 articles"
8,"Prefer not to say","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles"
10,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","Less than 1 year","3-4 articles"
11,"Woman","This does not apply to me","Non-STEM","This year","Less than 1 year",NA
12,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles"
13,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles"
14,"Woman","Post Doc","Non-STEM","This year","6-10 years",NA
15,"Non-binary / third gender","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
19,"Woman","Full Professor","Non-STEM","In the last 5 years","6-10 years",NA
20,"Non-binary / third gender","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
21,"Man","Assistant Professor","Non-STEM","This year","More than 10 years",NA
22,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
24,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles"
25,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
26,"Man","Assistant Professor","Non-STEM","This year","More than 10 years",NA
27,"Man","Full Professor","Non-STEM","In the last year","More than 10 years",NA
28,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
29,"Woman","Post Doc","Non-STEM","This year","More than 10 years",NA
30,"Woman","Assistant Professor","Non-STEM","This year","More than 10 years",NA
31,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
32,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years",NA
33,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA
35,"Woman","Assistant Professor","Non-STEM","In the last year","6-10 years",NA
36,"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles"
37,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles"
38,"Man","PhD student","Non-STEM","In the last 5 years","1-5 years","3-4 articles"
39,"Woman","This does not apply to me","STEM (science, technology, engineering, mathematics)","In the last 5 years","Less than 1 year",NA
40,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
41,"Man","Post Doc","Non-STEM","In the last year","More than 10 years",NA
42,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
43,"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles"
44,"Woman","Post Doc","Non-STEM","This year","More than 10 years",NA
46,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
47,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","In the last 5 years","6-10 years",NA
49,"Woman","This does not apply to me","Non-STEM","This year","1-5 years",NA
50,"Man","Post Doc","Non-STEM","This year","More than 10 years",NA
51,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA
52,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA
53,"Man","Assistant Professor","Non-STEM","This year","6-10 years",NA
55,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
56,"Woman","This does not apply to me","Non-STEM","This year","More than 10 years",NA
57,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
58,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
59,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
60,"Woman","Associate Professor","Non-STEM","This year","6-10 years",NA
61,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles"
62,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
63,"Woman","Assistant Professor","Non-STEM","This year","6-10 years",NA
64,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles"
65,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
66,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last 5 years","More than 10 years",NA
