"","lhs","rhs","est.std"
"1","wld","wld_1",0.72
"2","wld","wld_2",0.58
"3","wld","wld_3",0.86
"4","wld","wld_4",0.79
"5","rla","rla_1",0.79
"6","rla","rla_2",0.8
"7","rla","rla_3",0.8
"8","rla","rla_4",0.8
"9","rla","rla_5",0.86
"10","rla","rla_6",0.77
"11","wlb","wlb_1",0.9
"12","wlb","wlb_2",0.88
"13","wlb","wlb_3",0.86
"14","wlb","wlb_4",0.91
"15","opp","opp_1",0.74
"16","opp","opp_2",0.74
"17","opp","opp_3",0.89
"18","mng","mng_1",0.92
"19","mng","mng_2",0.87
"20","inf","inf_1",0.74
"21","inf","inf_2",0.72
"22","inf","inf_3",0.67
"23","inf","inf_4",0.83
"24","inf","inf_5",0.65
"25","inf","inf_6",0.77
"26","soc","scc_1",0.67
"27","soc","scc_2",0.6
"28","soc","scc_3",0.41
"29","soc","scs_1",0.87
"30","soc","scs_2",0.87
"31","soc","scs_3",0.72
"32","sec","sec_1",0.93
"33","sec","sec_2",0.89
"34","sec","sec_3",0.74
"35","sec","sec_4",0.89
"36","burnout","brt_1",0.8
"37","burnout","brt_2",0.81
"38","burnout","brt_3",0.62
"39","burnout","brt_4",0.67
"40","job_resources","opp",0.68
"41","job_resources","mng",0.71
"42","job_resources","inf",0.79
"43","job_resources","soc",0.6
"44","job_resources","sec",0.45
"45","job_demands","wld",0.82
"46","job_demands","rla",0.58
"47","job_demands","wlb",0.76
