"gender","title","discipline","last_published","academia_length","phd_dissertation","bat_1","bat_2","bat_3","bat_4","ppqr_1","ppqr_2","ppqr_3","ppqr_4","ppqr_5","ppqr_6","ppqr_7","ppqr_8","ppqr_9","ppqr_10","ppqr_11","ppqr_12","ppqr_13","ppqr_14","ppqr_15","ppqr_16","ppqr_17","ppqr_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_2","role_ambiguity_3","role_ambiguity_4","role_ambiguity_5","role_ambiguity_6","role_ambiguity_7","role_ambiguity_8","role_ambiguity_9","role_ambiguity_10","role_ambiguity_11","role_ambiguity_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","anonym_id"
"Woman","PhD student","Non-STEM","In the last 5 years","Less than 1 year","3-4 articles","Sometimes","Rarely","","","Agree","Agree","Strongly agree","Neither agree nor disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Often","Rarely","Often","Often","Often","Always","Always","Often","Often","Sometimes","Always","Often","Always","Somewhat acceptable","Somewhat acceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","","","","Sometimes","Sometimes","Rarely","Sometimes","Often","Often","Always","Often","Slightly disagree","Slightly agree","Disagree","Slightly disagree","Slightly agree","Slightly disagree","Strongly agree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly disagree","Slightly agree","Dissatisfied","Slightly dissatisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied",2
"Prefer not to say","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles","Often","Often","","","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Always","Often","Sometimes","Rarely","Always","Always","Always","Always","Always","Always","Never","Never","Never","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","","","","Always","Always","Always","Always","Always","Always","Always","Always","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Very satisfied",8
"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","Less than 1 year","3-4 articles","Rarely","Never","","","Disagree","Agree","Neither agree nor disagree","Disagree","Agree","Disagree","Agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Rarely","Sometimes","Sometimes","Sometimes","Never","Rarely","Never","Rarely","Rarely","Sometimes","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","","","","Often","Sometimes","Sometimes","Often","Sometimes","Often","Often","Often","Neither agree nor disagree","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Agree","Slightly agree","Neither agree nor disagree","Neither agree nor disagree","Slightly dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Very satisfied","Satisfied",10
"Woman","This does not apply to me","Non-STEM","This year","Less than 1 year","","Sometimes","Sometimes","","","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","","","","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",11
"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles","Never","Never","","","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Somewhat acceptable","Somewhat acceptable","Neither acceptable or unacceptable","Somewhat acceptable","Neither acceptable or unacceptable","","","","Never","Never","Never","Never","Never","Never","Never","Never","Slightly disagree","Slightly disagree","Disagree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly disagree","Disagree","Neither satisfied nor dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied",12
"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles","Sometimes","Never","","","Neither agree nor disagree","Agree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Sometimes","Often","Always","Rarely","Always","Always","Always","Always","Always","Always","Always","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","","","","Often","Always","Sometimes","Always","Sometimes","Always","Often","Often","Slightly agree","Disagree","Disagree","Slightly disagree","Slightly agree","Slightly disagree","Slightly agree","Neither agree nor disagree","Slightly disagree","Disagree","Slightly disagree","Neither agree nor disagree","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Slightly satisfied",13
"Woman","Post Doc","Non-STEM","This year","6-10 years","","Rarely","Rarely","","","Strongly disagree","Agree","Disagree","Disagree","Agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","","","","","","","","","Often","Often","Often","Often","Often","Often","Often","Often","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied",14
"Non-binary / third gender","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years","","Always","Always","","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Never","Never","Never","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","","","","Always","Always","Always","Always","Always","Always","Never","Never","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Very satisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Very satisfied",15
"Woman","Full Professor","Non-STEM","In the last 5 years","6-10 years","","Never","Never","Never","Never","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Sometimes","Rarely","","Rarely","","Often","","Never","","","","","","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","","","Somewhat acceptable","","","","","","","","","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Slightly disagree","Neither agree nor disagree","Slightly agree","Dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly satisfied",19
"Non-binary / third gender","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years","","Always","Always","Always","Always","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Always","Never","Always","Always","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Never","Sometimes","Rarely","Never","Sometimes","Rarely","Never","Never","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Very satisfied","Very satisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied",20
"Man","Assistant Professor","Non-STEM","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Rarely","Strongly disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Always","Always","Always","Rarely","Sometimes","Rarely","Rarely","Sometimes","Often","Never","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Often","Always","Rarely","Often","Sometimes","Often","Sometimes","Rarely","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Dissatisfied","Dissatisfied","Very dissatisfied","Satisfied","Dissatisfied","Dissatisfied",21
"Man","Full Professor","Non-STEM","This year","More than 10 years","","Often","Often","Rarely","Often","Strongly disagree","Strongly disagree","Agree","Disagree","Disagree","Strongly agree","Disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Sometimes","Often","Sometimes","Sometimes","Always","Always","Often","Often","Often","Rarely","Often","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Always","Sometimes","Often","Always","Always","Often","Often","Agree","Agree","Slightly disagree","Slightly agree","Slightly disagree","Agree","Strongly agree","Disagree","Slightly disagree","Disagree","Neither agree nor disagree","Disagree","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Slightly satisfied",22
"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles","Sometimes","Sometimes","Sometimes","Often","Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Often","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Disagree","Slightly agree","Slightly agree","Slightly agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Slightly satisfied","Slightly satisfied","Dissatisfied","Slightly dissatisfied","Dissatisfied","Dissatisfied",24
