"anonym_id","brt_1","brt_2","brt_3","brt_4","pps_1","pps_2","pps_3","pps_4","pps_5","pps_6","validity.x","ppa_7","ppa_8","ppa_9","ppa_10","ppa_11","ppa_12","validity.y","ppr_13","ppr_14","ppr_15","ppr_16","ppr_17","ppr_18","validity.x.x","sec_1","sec_2","sec_3","sec_4","validity.y.y","wlb_1","wlb_2","wlb_3","wlb_4","validity.x.x.x","wld_1","wld_2","wld_3","wld_4","validity.y.y.y","scs_1","scs_2","scs_3","scc_1","scc_2","scc_3","opp_1","opp_2","opp_3","qrp_1","qrp_2","qrp_3","qrp_4","qrp_5","qrp_6","qrp_7","qrp_8","inf_1","inf_2","inf_3","inf_4","inf_5","inf_6","mng_1","mng_2","rla_1","rla_2","rla_3","rla_4","rla_5","rla_6","rlc_1","rlc_2","rlc_3","rlc_4","rlc_5","rlc_6","pay_1","pay_2","tol_1","tol_2","gnl_1","gnl_2","overall_validity"
2,3,2,NA,NA,4,4,5,3,4,5,"valid",5,5,5,5,4,4,"valid",5,5,4,4,3,3,"valid",5,4,2,3,"valid",4,4,4,3,"valid",4,2,4,2,"valid",4,5,5,4,4,3,5,4,5,4,4,1,1,2,NA,NA,NA,3,3,2,3,4,4,5,4,5,5,5,5,4,4,5,6,7,5,5,5,2,3,5,5,5,5,"valid"
8,4,4,NA,NA,1,1,1,1,5,5,"invalid",1,1,1,1,5,NA,"invalid",1,1,1,5,5,1,"invalid",3,3,3,3,"invalid",1,5,1,2,"valid",5,4,3,4,"valid",5,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,NA,5,5,5,5,5,5,5,5,1,1,7,1,7,7,7,1,7,1,1,7,1,1,1,1,7,7,"invalid"
10,2,1,NA,NA,2,4,3,2,2,4,"valid",4,5,4,4,3,4,"valid",3,4,2,3,4,4,"valid",5,5,5,5,"valid",2,4,3,2,"valid",2,3,3,3,"valid",1,2,1,2,2,3,4,4,4,1,1,1,1,1,NA,NA,NA,4,3,3,4,3,4,4,4,4,4,5,4,6,5,4,3,5,4,4,4,3,2,4,5,7,6,"valid"
11,3,3,NA,NA,3,3,3,3,3,3,"invalid",3,3,3,3,3,3,"invalid",3,3,3,3,3,3,"invalid",3,3,3,3,"invalid",3,3,3,3,"invalid",3,3,3,3,"invalid",3,3,3,3,3,3,3,3,3,1,1,1,1,1,NA,NA,NA,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"invalid"
12,1,1,NA,NA,1,1,1,1,5,5,"invalid",1,1,1,1,5,1,"invalid",1,1,1,5,5,1,"invalid",5,1,5,5,"invalid",5,2,5,2,"valid",1,2,1,5,"valid",1,1,1,1,1,1,1,1,1,4,4,3,4,3,NA,NA,NA,1,1,1,1,1,1,1,1,5,5,4,4,4,4,3,6,4,5,5,2,4,3,3,4,2,4,"invalid"
13,3,1,NA,NA,3,4,5,4,3,4,"valid",2,4,5,5,4,3,"valid",5,5,4,4,3,2,"valid",4,4,4,5,"valid",2,4,4,3,"valid",3,4,5,4,"valid",5,5,5,5,5,5,5,5,5,1,1,1,1,1,NA,NA,NA,4,5,3,5,3,5,4,4,3,5,5,5,3,2,2,6,5,4,5,4,2,6,2,2,6,5,"valid"
14,2,2,NA,NA,1,4,2,2,2,5,"valid",4,5,5,5,4,5,"valid",2,2,3,4,4,2,"valid",2,4,2,2,"invalid",3,3,3,3,"invalid",3,3,3,3,"invalid",3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,2,2,6,2,6,6,6,2,6,2,2,6,6,6,6,6,6,6,"invalid"
15,5,5,NA,NA,5,5,5,5,1,1,"invalid",5,5,5,5,1,5,"invalid",5,5,5,1,1,5,"invalid",1,5,1,1,"invalid",1,5,1,1,"invalid",5,5,5,1,"invalid",5,5,5,5,5,5,1,1,1,1,1,1,1,1,NA,NA,NA,5,5,5,5,5,5,1,1,7,7,1,7,1,1,1,7,1,7,7,1,7,7,1,1,7,7,"invalid"
19,1,1,1,1,2,2,1,1,5,5,"valid",1,1,1,1,5,1,"invalid",1,1,1,5,5,1,"invalid",5,1,4,4,"valid",4,1,4,4,"valid",3,2,NA,4,"valid",NA,4,NA,1,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,7,6,2,6,2,3,2,6,2,6,4,5,2,3,3,4,4,5,"invalid"
20,5,5,5,5,5,5,5,5,1,5,"valid",5,5,5,5,5,5,"valid",1,5,5,1,1,1,"valid",1,1,1,1,"valid",5,5,5,5,"valid",5,1,5,1,"valid",1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,3,2,1,3,2,1,1,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,1,1,1,"valid"
21,3,3,2,2,1,5,5,4,2,5,"valid",1,5,4,4,2,4,"valid",1,4,5,5,3,4,"valid",2,2,1,4,"valid",5,5,5,5,"valid",5,5,5,4,"valid",3,2,2,3,4,1,4,4,4,1,1,1,2,3,1,1,2,4,5,2,4,3,4,3,2,7,2,6,4,2,2,6,7,7,7,7,1,2,2,1,6,2,2,"valid"
22,4,4,2,4,1,1,4,2,4,1,"valid",2,4,5,3,2,3,"valid",4,4,5,5,3,5,"valid",4,4,2,4,"valid",3,3,3,2,"valid",3,4,3,3,"valid",5,5,4,4,4,2,4,5,5,1,1,1,2,1,1,1,1,5,5,3,4,5,5,4,4,2,3,3,2,3,2,6,5,7,6,4,2,2,2,2,6,6,5,"valid"
24,3,3,3,4,4,4,4,4,4,4,"valid",5,5,5,5,4,5,"valid",4,4,2,3,3,2,"valid",4,3,2,3,"valid",5,5,5,5,"valid",4,3,3,4,"valid",3,3,3,2,2,2,4,4,4,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,3,2,3,5,3,4,4,6,6,6,6,6,4,5,5,2,3,2,2,"valid"
25,3,3,2,2,3,3,5,4,3,3,"valid",4,4,4,4,2,3,"valid",2,4,5,3,3,3,"valid",5,5,3,4,"valid",4,4,4,4,"valid",4,1,4,4,"valid",2,2,2,3,4,3,4,5,5,1,1,1,2,3,1,1,1,4,4,2,3,3,4,5,5,2,3,3,3,3,4,4,5,5,3,4,2,4,4,7,5,5,4,"valid"
26,3,3,2,4,4,5,5,4,4,4,"valid",3,4,4,4,3,5,"valid",4,4,5,5,4,4,"valid",4,4,3,4,"valid",4,4,4,4,"valid",4,4,4,4,"valid",4,4,3,4,4,3,3,4,3,1,1,1,1,2,1,3,3,4,4,3,4,2,3,4,4,2,2,2,3,3,3,4,5,5,3,5,2,2,2,2,4,5,6,"valid"
27,2,2,2,2,1,2,2,2,2,1,"valid",3,4,4,4,2,5,"valid",5,5,5,5,5,4,"valid",5,5,5,5,"valid",1,1,1,1,"valid",3,4,3,2,"valid",5,5,3,4,4,3,5,5,5,1,1,1,1,2,1,1,1,4,3,3,4,3,4,4,3,7,3,6,6,3,2,3,3,5,6,2,1,6,6,6,6,6,6,"valid"
28,2,3,2,3,2,2,4,3,4,2,"valid",2,3,3,4,2,4,"valid",4,4,4,4,2,4,"valid",4,4,2,5,"valid",2,1,2,2,"valid",4,4,4,4,"valid",3,3,2,4,4,3,4,4,4,2,1,1,2,4,1,2,3,4,4,3,3,3,4,3,3,5,4,6,3,5,5,5,5,7,6,5,5,7,6,6,5,5,5,"valid"
29,3,3,2,4,5,2,4,3,3,1,"valid",5,5,5,5,3,5,"valid",4,4,4,3,2,3,"valid",5,5,3,5,"valid",1,1,2,1,"valid",3,3,1,2,"valid",5,5,2,4,4,1,3,4,3,3,1,3,1,3,1,3,3,4,3,2,3,4,5,4,4,3,2,2,3,1,1,4,3,1,5,4,1,3,5,2,5,5,5,"valid"
30,4,3,2,3,2,5,4,4,3,3,"valid",4,4,4,5,4,4,"valid",4,4,4,4,4,4,"valid",5,5,4,4,"valid",4,4,3,2,"valid",3,3,3,3,"invalid",2,1,1,3,3,3,3,4,4,1,1,1,2,2,1,1,1,3,4,3,4,4,4,4,4,5,3,5,3,3,3,5,5,5,3,5,4,2,2,2,2,5,5,"invalid"
31,4,1,2,3,2,4,5,1,2,4,"valid",4,5,5,5,3,5,"valid",4,4,2,2,2,4,"valid",4,4,4,4,"valid",4,5,5,4,"valid",4,5,5,5,"valid",4,4,2,3,4,3,5,5,4,2,2,2,1,2,1,1,2,3,3,2,2,3,4,4,4,1,3,2,5,1,1,1,1,3,2,1,1,5,5,5,5,6,6,"valid"
32,2,2,1,2,2,2,4,2,2,2,"valid",2,2,2,2,2,2,"valid",4,3,4,4,4,4,"valid",4,4,2,3,"valid",1,1,1,1,"valid",3,2,3,2,"valid",4,4,3,4,4,3,5,5,5,1,1,1,1,2,1,1,1,5,5,3,4,4,4,5,4,2,4,3,2,2,2,5,5,7,6,5,6,7,7,2,6,6,4,"valid"
33,2,3,2,2,2,3,2,2,2,2,"valid",4,5,5,5,4,5,"valid",3,4,4,4,4,5,"valid",1,4,2,2,"valid",1,2,1,1,"valid",2,3,2,2,"valid",4,4,4,5,4,4,4,4,4,2,1,1,2,1,1,1,3,4,4,4,4,5,4,3,2,2,3,2,1,1,1,1,3,2,6,2,1,5,5,5,7,4,4,"valid"
35,4,4,3,4,5,5,5,5,4,5,"valid",4,4,4,5,4,4,"valid",5,4,5,4,2,3,"valid",4,4,1,4,"valid",5,5,5,5,"valid",5,5,5,5,"valid",4,5,3,4,4,3,3,4,4,1,1,2,3,4,1,2,1,4,3,2,3,2,3,4,3,3,4,6,4,4,2,7,6,7,5,7,6,2,2,1,2,3,4,"valid"
36,4,3,2,4,5,3,3,4,2,4,"valid",4,4,4,4,4,4,"valid",4,4,3,3,3,3,"valid",1,1,1,1,"valid",3,3,3,3,"invalid",3,3,3,3,"invalid",5,5,4,3,3,3,4,4,4,1,1,1,1,2,1,1,1,3,1,3,3,3,3,3,3,3,3,3,5,3,3,7,4,6,4,5,4,5,5,4,5,4,4,"invalid"
37,4,2,3,3,2,3,2,2,2,4,"valid",3,3,5,4,5,5,"valid",5,5,5,4,3,4,"valid",2,2,1,2,"valid",2,4,3,2,"valid",4,3,3,3,"valid",5,5,3,5,5,3,4,4,4,1,1,2,1,2,1,1,2,3,4,4,4,4,4,4,4,5,6,5,3,4,4,2,2,2,2,2,2,3,3,3,6,5,5,"valid"
38,4,5,4,4,4,4,4,5,2,1,"valid",4,4,4,2,4,2,"valid",3,4,3,3,2,4,"valid",2,4,3,2,"valid",1,5,1,2,"valid",4,4,4,1,"valid",2,2,2,3,4,4,3,3,3,3,3,4,5,4,3,3,3,4,4,4,4,4,4,3,4,3,3,6,3,5,7,7,1,6,1,2,7,6,6,4,5,4,3,"valid"
39,5,5,5,5,4,2,4,5,3,2,"valid",2,5,5,5,1,5,"valid",4,4,1,2,3,2,"valid",4,3,2,4,"valid",2,3,2,2,"valid",4,4,4,4,"valid",1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,3,7,5,6,6,6,6,4,2,6,2,6,4,4,3,1,1,1,"valid"
40,4,4,2,3,4,4,5,4,2,4,"valid",4,4,4,5,4,4,"valid",2,3,4,3,4,4,"valid",5,5,5,5,"valid",4,4,3,4,"valid",3,4,3,4,"valid",3,1,1,1,3,2,2,4,2,1,1,1,2,1,1,1,1,4,4,3,3,4,4,4,4,5,3,3,4,4,5,5,5,5,5,4,6,2,2,3,3,6,6,"valid"
41,3,4,3,4,4,4,5,4,3,3,"valid",3,4,4,5,3,4,"valid",3,4,4,3,3,3,"valid",2,2,2,2,"valid",3,5,4,4,"valid",5,4,4,3,"valid",3,3,3,4,4,3,5,4,4,2,1,1,2,3,2,2,1,4,4,3,4,3,5,3,3,7,6,7,7,6,6,6,7,6,7,3,2,5,6,2,3,3,3,"valid"
42,1,1,1,1,1,2,1,1,1,1,"valid",1,4,4,1,5,2,"valid",5,5,5,5,5,4,"valid",5,5,5,5,"valid",1,1,1,1,"valid",2,2,2,2,"valid",5,5,4,5,5,5,4,4,4,1,1,1,1,2,1,1,1,5,5,5,5,5,5,4,3,2,2,2,1,1,1,1,2,4,3,2,1,1,1,3,7,3,3,"valid"
43,3,1,1,3,2,3,2,1,2,2,"valid",3,3,3,4,2,4,"valid",4,4,4,4,4,4,"valid",3,1,2,4,"valid",1,1,1,1,"valid",3,2,2,2,"valid",4,3,3,3,4,2,4,4,4,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,3,5,3,4,5,5,3,3,5,1,6,6,6,6,5,5,"valid"
44,3,2,2,3,2,4,5,4,3,4,"valid",2,3,4,3,2,3,"valid",4,4,5,5,2,2,"valid",4,4,4,4,"valid",4,4,4,4,"valid",4,4,3,3,"valid",4,4,3,4,4,3,5,4,5,1,2,1,2,5,3,5,1,4,4,3,4,3,4,5,4,6,6,6,6,5,5,6,5,5,5,5,2,4,3,3,6,4,3,"valid"
46,4,3,3,3,4,1,4,4,3,5,"valid",3,4,3,5,3,5,"valid",3,4,4,4,4,4,"valid",4,5,2,4,"valid",4,4,4,4,"valid",3,1,2,4,"valid",1,1,1,2,3,2,2,3,3,3,4,1,3,2,1,2,1,4,4,2,4,4,4,4,4,6,6,5,6,2,2,4,4,3,3,6,5,5,5,5,4,6,5,"valid"
47,2,1,1,2,1,2,2,1,2,4,"valid",3,2,1,2,2,3,"valid",5,5,4,5,3,5,"valid",5,4,5,5,"valid",1,1,2,1,"valid",3,3,3,2,"valid",4,5,4,4,4,4,4,5,4,1,1,1,3,1,1,3,3,4,3,3,4,4,4,5,5,2,2,2,2,1,1,2,4,2,2,1,1,6,6,5,5,5,5,"valid"
49,3,1,2,4,2,1,4,1,2,2,"valid",5,5,5,1,4,5,"valid",5,4,5,3,5,4,"valid",4,4,2,3,"valid",4,4,4,3,"valid",4,4,4,4,"valid",4,2,2,4,5,3,5,5,5,1,1,1,1,4,1,1,1,4,4,3,4,3,5,5,5,1,1,2,4,1,1,6,5,7,6,5,4,7,7,6,6,6,6,"valid"
